iter	RMSE
0	0.9522303554
1	0.9178369758
2	0.8840390264
3	0.850940235
4	0.8196911679
5	0.7868474385
6	0.7559011388
7	0.7289422872
8	0.7044980369
9	0.6810367481
10	0.6615893649
11	0.6415535878
12	0.619712996
13	0.6034542492
14	0.5864221055
15	0.5728711052
16	0.5549453438
17	0.5395393043
18	0.5249113322
19	0.5134871738
20	0.5015070954
21	0.4907141784
22	0.4785908119
23	0.4685986854
24	0.4594449574
25	0.449212725
26	0.4421125191
27	0.4351693494
28	0.4284268221
29	0.4202997139
30	0.4128432639
31	0.4058902697
32	0.3985226176
33	0.3923105294
34	0.3869179355
35	0.3796832461
36	0.3735931233
37	0.3674592216
38	0.3625007724
39	0.356560542
40	0.3519544985
41	0.3477483178
42	0.3432233213
43	0.3387375895
44	0.3335639087
45	0.3290521997
46	0.3248199174
47	0.3217268589
48	0.3190613024
49	0.315547624
50	0.3121068887
51	0.3052313262
52	0.3025851449
53	0.300594285
54	0.297482601
55	0.2952861383
56	0.2926110791
57	0.2882732985
58	0.2846676014
59	0.2818836013
60	0.2794981626
61	0.2760492506
62	0.2722618904
63	0.2696260069
64	0.2657899219
65	0.2634946624
66	0.2608029715
67	0.2588543475
68	0.2550864728
69	0.2515159684
70	0.249752689
71	0.247822594
72	0.2462028757
73	0.2441560479
74	0.2414427878
75	0.2384237858
76	0.2356961996
77	0.2315740435
78	0.2303755055
79	0.2261205017
80	0.2246084253
81	0.2219398279
82	0.2181112513
83	0.2160946089
84	0.213626552
85	0.2114946875
86	0.2096473557
87	0.2072965922
88	0.2058271718
89	0.2034130178
90	0.2010651504
91	0.1996203953
92	0.1978468105
93	0.1964297333
94	0.1942736922
95	0.1923880306
96	0.1905177869
97	0.1886693689
98	0.1875011455
99	0.1855953008
100	0.1840440448
101	0.1828754509
102	0.181094653
103	0.180074102
104	0.1780118512
105	0.1767291535
106	0.1757244779
107	0.1745053789
108	0.173470104
109	0.1716743979
110	0.1701326895
111	0.169143752
112	0.1675144316
113	0.1666091466
114	0.1651222868
115	0.1631312078
116	0.1621204415
117	0.1604857569
118	0.1595376039
119	0.1580362691
120	0.1566536983
121	0.155790123
122	0.1549199448
123	0.1542124994
124	0.1529995631
125	0.1519034718
126	0.1512491777
127	0.1499425249
128	0.1488652708
129	0.147855443
130	0.1469860268
131	0.145877854
132	0.1448686837
133	0.1438814493
134	0.1432242533
135	0.1420025539
136	0.1407753722
137	0.139949405
138	0.1389250077
139	0.1385442198
140	0.1379717787
141	0.1373474798
142	0.1360212581
143	0.135459816
144	0.1344936174
145	0.1338101315
146	0.133086536
147	0.13209471
148	0.1312632651
149	0.1304753423
150	0.1294662352
151	0.128596496
152	0.1282300173
153	0.1273120207
154	0.1266037123
155	0.1255379006
156	0.1248443227
157	0.1245206779
158	0.1237717553
159	0.1234743401
160	0.1232683959
161	0.1223453241
162	0.1216671733
163	0.1211075272
164	0.1204049761
165	0.1196953905
166	0.1191844001
167	0.1187042935
168	0.1184735716
169	0.1177705194
170	0.1174099567
171	0.1167431536
172	0.1165052325
173	0.1157508607
174	0.115122917
175	0.1144060749
176	0.1137355692
177	0.1131605125
178	0.1126247928
179	0.1121251569
180	0.1115045853
181	0.1109352794
182	0.1107397896
183	0.1101001273
184	0.1094674223
185	0.1088922633
186	0.1080924979
187	0.1077534988
188	0.1073300554
189	0.1069917301
190	0.1064644451
191	0.1058163563
192	0.1055900617
193	0.1050210629
194	0.1048508535
195	0.1038724462
196	0.1035339772
197	0.1030626581
198	0.1029017731
199	0.1021365226
200	0.1017654997
201	0.1012767408
202	0.1008440115
203	0.1003202797
204	0.09952693309
205	0.09914236381
206	0.09866461287
207	0.09833434624
208	0.09785724253
209	0.09755457438
210	0.09712713795
211	0.09685282771
212	0.09671808066
213	0.09626192516
214	0.09554129208
215	0.09526419682
216	0.09495202604
217	0.09462460232
218	0.09422988053
219	0.09388354631
220	0.09377484965
221	0.09320434461
222	0.0930827733
223	0.0927070768
224	0.09260948364
225	0.09225373518
226	0.09214959013
227	0.09184479407
228	0.09173772026
229	0.09164260529
230	0.09143669519
231	0.09115869303
232	0.09080593644
233	0.09070886444
234	0.09061733225
235	0.08991714257
236	0.08982965339
237	0.08946500739
238	0.0891271959
239	0.08880210251
240	0.08847328137
241	0.08839947584
242	0.08810184552
243	0.08778163269
244	0.08756065313
245	0.08736027482
246	0.08728615783
