iter	RMSE
0	0.9168275772
1	0.8314551161
2	0.7517782208
3	0.6921290505
4	0.630695821
5	0.5848894931
6	0.5462996762
7	0.5076510976
8	0.4746588822
9	0.4415473298
10	0.4141576203
11	0.3864502529
12	0.3615761993
13	0.3402685191
14	0.3202460774
15	0.3027941263
16	0.2880641043
17	0.2737041954
18	0.2626541274
19	0.2526139108
20	0.2429616947
21	0.2337715254
22	0.2257162284
23	0.2190786761
24	0.2117588035
25	0.2053126025
26	0.1993995258
27	0.1942273945
28	0.1893320285
29	0.1840685826
30	0.1804107731
31	0.1760866709
32	0.1726409471
33	0.1687948667
34	0.1651956348
35	0.1617199677
36	0.1590829565
37	0.1560449982
38	0.1535389998
39	0.1510379423
40	0.1485254772
41	0.1463152331
42	0.1442913232
43	0.1416186886
44	0.1393311378
45	0.1375777283
46	0.134703391
47	0.1327664809
48	0.1308565449
49	0.1292111213
50	0.1273771623
51	0.12544378
52	0.1236120271
53	0.1222179167
54	0.1207533533
55	0.1192258607
56	0.1177052382
57	0.1167939956
58	0.1151712528
59	0.1138633927
60	0.1124506249
61	0.1103521315
62	0.1086769701
63	0.1073370723
64	0.1058704837
65	0.1045706574
66	0.1032696069
67	0.1020248698
68	0.1003340611
